iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
428	34.95	36.23	34.87	34.49	34.3844	33.2971
429	34.95	36.23	34.87	34.49	34.3842	33.2968
430	34.95	36.23	34.87	34.49	34.3840	33.2966
431	34.95	36.23	34.87	34.49	34.3838	33.2963
432	34.95	36.23	34.87	34.49	34.3836	33.2960
433	34.95	36.23	34.87	34.49	34.3834	33.2958
434	34.95	36.23	34.87	34.49	34.3832	33.2955
435	34.95	36.23	34.87	34.49	34.3830	33.2952
436	34.95	36.23	34.87	34.49	34.3828	33.2950
437	34.95	36.23	34.87	34.49	34.3826	33.2947
438	34.95	36.23	34.87	34.49	34.3824	33.2944
439	34.95	36.23	34.87	34.49	34.3822	33.2942
440	34.95	36.23	34.87	34.49	34.3821	33.2939
441	34.95	36.23	34.87	34.49	34.3819	33.2937
442	34.95	36.23	34.87	34.49	34.3817	33.2934
443	34.95	36.23	34.87	34.49	34.3815	33.2931
444	34.95	36.23	34.87	34.49	34.3813	33.2929
445	34.95	36.23	34.87	34.49	34.3811	33.2926
446	34.95	36.23	34.87	34.49	34.3809	33.2924
447	34.95	36.23	34.87	34.49	34.3807	33.2921
448	34.95	36.23	34.87	34.49	34.3806	33.2918
449	34.95	36.23	34.87	34.49	34.3804	33.2916
450	34.95	36.23	34.87	34.49	34.3802	33.2913
451	34.95	36.23	34.87	34.49	34.3800	33.2910
452	34.95	36.23	34.87	34.49	34.3798	33.2908
453	34.95	36.23	34.87	34.49	34.3797	33.2905
454	34.95	36.23	34.87	34.49	34.3795	33.2902
455	34.95	36.23	34.87	34.49	34.3793	33.2899
456	34.95	36.23	34.87	34.49	34.3791	33.2897
457	34.95	36.23	34.87	34.49	34.3789	33.2894
458	34.95	36.23	34.87	34.49	34.3788	33.2892
459	34.95	36.23	34.87	34.49	34.3786	33.2889
460	34.95	36.23	34.87	34.49	34.3784	33.2886
461	34.95	36.23	34.87	34.49	34.3782	33.2884
462	34.95	36.23	34.87	34.49	34.3781	33.2881
463	34.95	36.23	34.87	34.49	34.3779	33.2878
464	34.95	36.23	34.87	34.49	34.3777	33.2876
465	34.95	36.23	34.87	34.49	34.3775	33.2873
466	34.95	36.23	34.87	34.49	34.3774	33.2871
467	34.95	36.23	34.87	34.49	34.3772	33.2868
468	34.95	36.23	34.87	34.49	34.3770	33.2866
469	34.95	36.23	34.87	34.49	34.3768	33.2863
470	34.95	36.23	34.87	34.49	34.3767	33.2861
471	34.95	36.23	34.87	34.49	34.3765	33.2858
472	34.95	36.23	34.87	34.49	34.3763	33.2856
473	34.95	36.23	34.87	34.49	34.3761	33.2853
474	34.95	36.23	34.87	34.49	34.3760	33.2851
475	34.95	36.23	34.87	34.49	34.3758	33.2849
476	34.95	36.23	34.87	34.49	34.3756	33.2846
477	34.95	36.23	34.87	34.49	34.3754	33.2844
478	34.95	36.23	34.87	34.49	34.3753	33.2842
479	34.95	36.23	34.87	34.49	34.3751	33.2839
480	34.95	36.23	34.87	34.49	34.3749	33.2837
